0.0,2.5
1,2.5
1.1,2.66
1.2,2.81
1.3,2.97
1.4,3.12
1.5,3.27
1.6,3.41
1.7,3.54
1.8,3.68
1.9,3.8
2.0,3.91
2.1,4.02
2.2,4.12
2.3,4.21
2.4,4.28
2.5,4.35
2.6,4.4
2.7,4.44
2.8,4.48
2.9,4.49
3.0,4.5
3.1,4.49
3.2,4.48
3.3,4.44
3.4,4.4
3.5,4.35
3.6,4.28
3.7,4.21
3.8,4.12
3.9,4.02
4.0,3.91
4.1,3.8
4.2,3.68
4.3,3.55
4.4,3.41
4.5,3.27
4.6,3.12
4.7,2.97
4.8,2.81
4.9,2.66
5.0,2.5
5.1,2.34
5.2,2.19
5.3,2.03
5.4,1.88
5.5,1.73
5.6,1.59
5.7,1.46
5.8,1.32
5.9,1.2
6.0,1.09
6.1,0.98
6.2,0.88
6.3,0.79
6.4,0.72
6.5,0.65
6.6,0.6
6.7,0.56
6.8,0.52
6.9,0.51
7.0,0.5
7.1,0.51
7.2,0.52
7.3,0.56
7.4,0.6
7.5,0.65
7.6,0.72
7.7,0.79
7.8,0.88
7.9,0.98
8.0,1.09
8.1,1.2
8.2,1.32
8.3,1.45
8.4,1.59
8.5,1.73
8.6,1.88
8.7,2.03
8.8,2.19
8.9,2.34
9.0,2.5
10.0,2.5
